FID;FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Angle;IDTombe;Inventaire;Secteur;Coordonnee;Coordonn_1;Campagne;Datation;Anciennes_;POINT_X;POINT_Y
0;0;Point;Tombb;198;Continuous;0;25; ;0;3;308;1;1093;-261;2008-2009;3;261;30.44414317;19.61528858
1;0;Point;Tombb;198;Continuous;0;25; ;0;4;309;1;1075;-264;2008-2009;3;264;30.44411848;19.61513045
2;0;Point;Tombb;198;Continuous;0;25; ;0;5;310;1;1058;-261;2008-2009;3;261;30.44414632;19.61498164
3;0;Point;Tombb;198;Continuous;0;25; ;0;6;311;1;1072;-262;2008-2009;3;262;30.44413629;19.61510432
4;0;Point;Tombb;198;Continuous;0;25; ;0;7;312;1;1071;-266;2008-2009;1;266;30.4441013;19.61509519
5;0;Point;Tombb;198;Continuous;0;25; ;0;8;313;1;1067;-260;2008-2009;1;260;30.44415428;19.61506066
6;0;Point;Tombb;198;Continuous;0;25; ;0;9;314;1;1066;-263;2008-2009;1;263;30.44412806;19.61505162
7;0;Point;Tombb;198;Continuous;0;25; ;0;10;315;1;1064;-264;2008-2009;1;264;30.44411947;19.61503399
8;0;Point;Tombb;198;Continuous;0;25; ;0;11;316;1;1063;-264;2008-2009;1;264;30.44411956;19.61502522
9;0;Point;Tombb;198;Continuous;0;25; ;0;12;317;1;1060;-264;2008-2009;1;264;30.44411983;19.61499891
10;0;Point;Tombb;198;Continuous;0;25; ;0;13;318;1;1056;-262;2008-2009;1;262;30.44413773;19.61496401
11;0;Point;Tombb;198;Continuous;0;25; ;0;14;319;1;1062;-263;2008-2009;1;263;30.44412842;19.61501654
12;0;Point;Tombb;198;Continuous;0;25; ;0;15;320;1;1058;-264;2008-2009;1;264;30.44412001;19.61498137
13;0;Point;Tombb;198;Continuous;0;25; ;0;16;321;1;1057;-265;2008-2009;1;265;30.44411133;19.61497251
14;0;Point;Tombb;198;Continuous;0;25; ;0;17;322;1;1055;-265;2008-2009;1;265;30.44411151;19.61495497
15;0;Point;Tombb;198;Continuous;0;25; ;0;18;323;1;1051;-261;2008-2009;1;261;30.44414695;19.61492025
16;0;Point;Tombb;198;Continuous;0;25; ;0;19;324;1;1053;-263;2008-2009;1;263;30.44412923;19.61493761
17;0;Point;Tombb;198;Continuous;0;25; ;0;20;325;1;1053;-266;2008-2009;1;266;30.44410292;19.61493734
18;0;Point;Tombb;198;Continuous;0;25; ;0;21;326;1;1050;-266;2008-2009;1;266;30.44410319;19.61491103
19;0;Point;Tombb;198;Continuous;0;25; ;0;22;327;1;1049;-265;2008-2009;1;265;30.44411205;19.61490235
20;0;Point;Tombb;198;Continuous;0;25; ;0;23;328;1;1048;-266;2008-2009;1;266;30.44410337;19.61489349
21;0;Point;Tombb;198;Continuous;0;25; ;0;24;329;1;1047;-262;2008-2009;1;262;30.44413854;19.61488508
22;0;Point;Tombb;198;Continuous;0;25; ;0;25;330;1;1046;-266;2008-2009;1;266;30.44410355;19.61487595
23;0;Point;Tombb;198;Continuous;0;25; ;0;26;331;1;1046;-264;2008-2009;3;264;30.44412109;19.61487613
24;0;Point;Tombb;198;Continuous;0;25; ;0;27;332;1;1062;-261;2008-2009;1;261;30.44414596;19.61501672
25;0;Point;Tombb;198;Continuous;0;25; ;0;28;333;1;1060;-266;2008-2009;1;266;30.44410229;19.61499873
26;0;Point;Tombb;198;Continuous;0;25; ;0;29;334;1;1062;-266;2008-2009;1;266;30.44410211;19.61501627
27;0;Point;Tombb;198;Continuous;0;25; ;0;30;335;1;1063;-266;2008-2009;1;266;30.44410202;19.61502504
28;0;Point;Tombb;198;Continuous;0;25; ;0;31;336;1;1073;-264;2008-2009;1;264;30.44411866;19.61511291
29;0;Point;Tombb;198;Continuous;0;25; ;0;32;337;1;1078;-264;2008-2009;1;264;30.44411821;19.61515676
30;0;Point;Tombb;198;Continuous;0;25; ;0;33;338;1;1078;-262;2008-2009;1;262;30.44413575;19.61515694
31;0;Point;Tombb;198;Continuous;0;25; ;0;34;339;1;1050;-262;2008-2009;1;262;30.44413827;19.61491139
32;0;Point;Tombb;198;Continuous;0;25; ;0;40;340;1;1046;-262;2009-2010;3;262;30.44413863;19.61487631
33;0;Point;Tombb;198;Continuous;0;25; ;0;41;341;1;1044;-265;2009-2010;3;265;30.4441125;19.61485851
34;0;Point;Tombb;198;Continuous;0;25; ;0;42;342;1;1043;-263;2009-2010;3;263;30.44413013;19.61484992
35;0;Point;Tombb;198;Continuous;0;25; ;0;43;343;1;1076;-260;2009-2010;3;260;30.44415347;19.61513958
36;0;Point;Tombb;198;Continuous;0;25; ;0;45;344;1;1088;-271;2009-2010;3;271;30.44405592;19.61524383
37;0;Point;Tombb;198;Continuous;0;25; ;0;46;345;1;1086;-270;2009-2010;3;270;30.44406487;19.61522638
38;0;Point;Tombb;198;Continuous;0;25; ;0;47;346;1;1086;-276;2009-2010;3;276;30.44401225;19.61522584
39;0;Point;Tombb;198;Continuous;0;25; ;0;48;347;1;1084;-275;2009-2010;3;275;30.4440212;19.61520839
40;0;Point;Tombb;198;Continuous;0;25; ;0;49;348;3;1088;-292;2009-2010;4;292;30.44387176;19.61524194
41;0;Point;Tombb;198;Continuous;0;25; ;0;50;349;3;1091;-298;2009-2010;4;298;30.44381887;19.6152677
42;0;Point;Tombb;198;Continuous;0;25; ;0;51;350;3;1096;-306;2009-2010;4;306;30.44374826;19.61531083
43;0;Point;Tombb;198;Continuous;0;25; ;0;52;351;3;1092;-301;2009-2010;4;301;30.44379247;19.6152762
44;0;Point;Tombb;198;Continuous;0;25; ;0;53;352;3;1090;-302;2009-2010;4;302;30.44378388;19.61525857
45;0;Point;Tombb;198;Continuous;0;25; ;0;54;353;3;1088;-300;2009-2010;4;300;30.4438016;19.61524122
46;0;Point;Tombb;198;Continuous;0;25; ;0;55;354;3;1088;-302;2009-2010;4;302;30.44378406;19.61524104
47;0;Point;Tombb;198;Continuous;0;25; ;0;56;355;3;1089;-297;2009-2010;4;297;30.44382782;19.61525026
48;0;Point;Tombb;198;Continuous;0;25; ;0;57;356;1;1089;-270;2009-2010;3;270;30.4440646;19.61525269
49;0;Point;Tombb;198;Continuous;0;25; ;0;58;357;1;1090;-268;2009-2010;3;268;30.44408205;19.61526164
50;0;Point;Tombb;198;Continuous;0;25; ;0;59;358;1;1086;-272;2009-2010;3;272;30.44404733;19.6152262
51;0;Point;Tombb;198;Continuous;0;25; ;0;60;359;1;1093;-266;2009-2010;3;266;30.44409932;19.61528813
52;0;Point;Tombb;198;Continuous;0;25; ;0;61;360;1;1090;-266;2009-2010;3;266;30.44409959;19.61526182
53;0;Point;Tombb;198;Continuous;0;25; ;0;62;361;1;1088;-267;2009-2010;3;267;30.444091;19.61524419
54;0;Point;Tombb;198;Continuous;0;25; ;0;63;362;1;1091;-266;2009-2010;3;266;30.4440995;19.61527059
