;university_name;long;lat;periode;effectif
0;Aarhus University;10.2011;56.1706;1951-1961;2
1;Aberystwyth University;-4.06576;52.4181;1921-1941;1
2;Achimota School;-0.213611;5.62722;1921-1941;1
3;Adelphi University;-73.652;40.72;1961-1971;1
4;Ahmadu Bello University;7.7;11.0667;1941-1951;1
5;Aitchison College;74.2539;31.4578;1921-1941;1
6;Alexandru Ioan Cuza University;27.5717;47.1742;1971-2001;1
7;Aligarh Muslim University;78.0788;27.915;1901-1921;1
8;Ambrose Alli University;6.08455;6.74463;1961-1971;1
9;American University;-77.0869;38.9371;1901-1921;1
10;American University;-77.0869;38.9371;1921-1941;1
11;American University;-77.0869;38.9371;1961-1971;2
12;American University of Beirut;35.4823;33.9;1901-1921;1
13;American University of Beirut;35.4823;33.9;1921-1941;1
14;American University of Beirut;35.4823;33.9;1951-1961;1
15;American University of Beirut;35.4823;33.9;1961-1971;1
16;Amherst College;-72.5169;42.3708;1771-1861;2
17;Amherst College;-72.5169;42.3708;1921-1941;2
18;Ananda College;79.8692;6.925;1921-1941;1
19;Andhra University;83.3216;17.7293;1921-1941;1
20;Andhra University;83.3216;17.7293;1941-1951;1
21;Andrés Bello Catholic University;-66.9759;10.4643;1941-1951;1
22;Ankara University;32.8303;39.9367;1901-1921;1
23;Ankara University;32.8303;39.9367;1951-1961;1
24;Aristotle University of Thessaloniki;22.9581;40.63;1961-1971;1
25;Arizona State University;-111.933;33.421;1951-1961;1
26;Arizona State University;-111.933;33.421;1971-2001;1
27;Asian Institute of Technology;100.611;14.0791;1941-1951;1
28;Assumption College (Thailand);100.516;13.7231;1901-1921;1
29;Assumption University (Windsor, Ontario);-83.0012;42.0051;1921-1941;1
30;Ateneo de Manila University;121.078;14.6389;1921-1941;1
31;Ateneo de Manila University;121.078;14.6389;1951-1961;1
32;Athens University of Economics and Business;23.7322;37.9939;1951-1961;1
33;Athens University of Economics and Business;23.7322;37.9939;1971-2001;1
34;Auburn University;-85.486;32.603;1951-1961;1
35;Australian Defence Force Academy;149.164;-35.2939;1961-1971;1
36;Australian National University;149.12;-35.2778;1921-1941;2
37;Australian National University;149.12;-35.2778;1941-1951;4
38;Australian National University;149.12;-35.2778;1951-1961;5
39;Australian National University;149.12;-35.2778;1961-1971;3
40;Autonomous University of Madrid;-3.69611;40.5453;1941-1951;1
41;Babeș-Bolyai University;23.5914;46.7677;1941-1951;1
42;Babson College;-71.2612;42.2982;1941-1951;1
43;Babson College;-71.2612;42.2982;1961-1971;1
44;Balliol College, Oxford;-1.2578;51.7547;1771-1861;3
45;Balliol College, Oxford;-1.2578;51.7547;1861-1901;2
46;Balliol College, Oxford;-1.2578;51.7547;1901-1921;4
47;Balliol College, Oxford;-1.2578;51.7547;1941-1951;1
48;Balliol College, Oxford;-1.2578;51.7547;1951-1961;1
49;Balliol College, Oxford;-1.2578;51.7547;1961-1971;1
50;Balliol College, Oxford;-1.2578;51.7547;1971-2001;1
51;Ballygunge Government High School;88.3539;22.5301;1921-1941;1
52;Bandung Institute of Technology;107.61;-6.8909;1951-1961;1
53;Bangalore University;77.5032;12.9388;1951-1961;1
54;Bank of Spain;-3.69472;40.4183;1951-1961;1
55;Bard College;-73.908;42.021;1951-1961;1
56;Barnard College;-73.9635;40.8096;1901-1921;1
57;Bashkir State University;55.9336;54.7214;1951-1961;1
58;Beijing University of Chemical Technology;116.415;39.9689;1941-1951;1
59;Belarus State Economic University;27.6072;53.8781;1971-2001;1
60;Benue State University;8.5563;7.7265;1961-1971;1
61;Bielefeld University;8.49306;52.0378;1951-1961;1
62;Bielefeld University;8.49306;52.0378;1961-1971;1
63;Binghamton University;-75.967;42.0888;1941-1951;1
64;Birkbeck, University of London;-0.129338;51.5217;1961-1971;3
65;Birkbeck, University of London;-0.129338;51.5217;1971-2001;1
66;Blekinge Institute of Technology;15.5906;56.1814;1971-2001;1
67;Bocconi University;9.18972;45.4503;1921-1941;1
68;Bocconi University;9.18972;45.4503;1941-1951;2
69;Bocconi University;9.18972;45.4503;1951-1961;4
70;Bocconi University;9.18972;45.4503;1961-1971;6
71;Bocconi University;9.18972;45.4503;1971-2001;2
72;Boston Latin School;-71.102;42.338;1941-1951;1
73;Boston University;-71.0997;42.3496;1901-1921;1
74;Boston University;-71.0997;42.3496;1921-1941;1
75;Boston University;-71.0997;42.3496;1941-1951;5
76;Boston University;-71.0997;42.3496;1951-1961;3
77;Bowdoin College;-69.963;43.909;1861-1901;2
78;Bowling Green State University;-83.63;41.38;1961-1971;1
79;Brandeis University;-71.2597;42.3657;1921-1941;1
80;Brandeis University;-71.2597;42.3657;1941-1951;1
81;Brandeis University;-71.2597;42.3657;1951-1961;2
82;Brandeis University;-71.2597;42.3657;1961-1971;1
83;Brasenose College, Oxford;-1.25473;51.7532;1971-2001;1
84;Brest State Technical University;23.75;52.0833;1941-1951;1
85;Brigham Young University;-111.649;40.2508;1941-1951;1
86;Brigham Young University;-111.649;40.2508;1951-1961;1
87;Brojomohun College;90.3551;22.7121;1921-1941;1
88;Brooklyn College;-73.9525;40.6311;1921-1941;2
89;Brooklyn College;-73.9525;40.6311;1941-1951;1
90;Brown University;-71.4032;41.8262;1771-1861;1
91;Brown University;-71.4032;41.8262;1861-1901;1
92;Brown University;-71.4032;41.8262;1901-1921;1
93;Brown University;-71.4032;41.8262;1921-1941;1
94;Brown University;-71.4032;41.8262;1941-1951;3
95;Brown University;-71.4032;41.8262;1951-1961;3
96;Brown University;-71.4032;41.8262;1961-1971;2
97;Bryn Mawr College;-75.3136;40.0264;1901-1921;2
98;Bucharest;26.1039;44.4325;1971-2001;1
99;Bucharest Academy of Economic Studies;26.0966;44.4476;1941-1951;2
100;Bucharest Academy of Economic Studies;26.0966;44.4476;1961-1971;1
101;Bucharest Academy of Economic Studies;26.0966;44.4476;1971-2001;2
102;Budapest;19.0514;47.4925;1861-1901;1
103;Budapest Business School;19.1247;47.5081;1951-1961;1
104;Budapest University of Technology and Economics;19.0556;47.4814;1861-1901;1
105;CMS Grammar School, Lagos;3.38864;6.53458;1921-1941;1
106;Ca' Foscari University of Venice;12.3265;45.4345;1941-1951;1
107;Ca' Foscari University of Venice;12.3265;45.4345;1951-1961;1
108;Cairo University;31.2101;30.0276;1921-1941;1
109;Cairo University;31.2101;30.0276;1951-1961;2
110;California Coast University;-117.871;33.7791;1951-1961;1
111;California Institute of Technology;-118.125;34.1375;1901-1921;1
112;California Institute of Technology;-118.125;34.1375;1921-1941;2
113;California Institute of Technology;-118.125;34.1375;1941-1951;3
114;California Miramar University;-117.118;32.7792;1921-1941;1
115;California State University, Chico;-121.849;39.7317;1951-1961;1
116;California State University, Fresno;-119.75;36.8133;1941-1951;1
117;California State University, Los Angeles;-118.168;34.0667;1921-1941;1
118;California State University, Sacramento;-121.424;38.5602;1941-1951;1
119;California State University, Sacramento;-121.424;38.5602;1961-1971;1
120;Cambridge;0.119167;52.2053;1771-1861;1
121;Cardiff;-3.18333;51.4833;1921-1941;1
122;Cardiff Metropolitan University;-3.1649;51.4843;1921-1941;1
123;Cardiff University;-3.179;51.4877;1901-1921;1
124;Carleton College;-93.1536;44.4619;1921-1941;1
125;Carleton College;-93.1536;44.4619;1961-1971;1
126;Carnegie Mellon University;-79.9436;40.4433;1921-1941;6
127;Carnegie Mellon University;-79.9436;40.4433;1941-1951;3
128;Carnegie Mellon University;-79.9436;40.4433;1951-1961;2
129;Carnegie Mellon University;-79.9436;40.4433;1961-1971;1
130;Carnegie Mellon University;-79.9436;40.4433;1971-2001;1
131;Case Western Reserve University;-81.608;41.504;1921-1941;1
132;Case Western Reserve University;-81.608;41.504;1941-1951;1
133;Catholic University of Leuven (1834–1968);4.61222;50.6697;1901-1921;2
134;Catholic University of Leuven (1834–1968);4.61222;50.6697;1921-1941;1
135;Catholic University of Portugal;-8.6724;41.1534;1951-1961;1
136;Catholic University of Portugal;-8.6724;41.1534;1961-1971;1
137;Central American University;-89.2349;13.6809;1971-2001;1
138;Central Methodist University;-92.6854;39.1504;1941-1951;1
139;Central University of Venezuela;-66.8907;10.4884;1921-1941;1
140;CentraleSupélec;2.16356;48.7093;1951-1961;1
141;Centre College;-84.781;37.6433;1921-1941;1
142;Charles University;14.4037;50.0884;1861-1901;1
143;Charles University;14.4037;50.0884;1951-1961;1
144;Cheikh Anta Diop University;-17.4633;14.6869;1951-1961;1
145;Chiang Mai University;98.9516;18.8026;1951-1961;1
146;Chinese Academy of Social Sciences;116.435;39.9097;1941-1951;1
147;Christ Church, Oxford;-1.25585;51.7502;1921-1941;1
148;Christ's College, Cambridge;0.1224;52.2063;1901-1921;1
149;Christ's College, Cambridge;0.1224;52.2063;1941-1951;1
150;Christ's College, Cambridge;0.1224;52.2063;1961-1971;1
151;Chulalongkorn University;100.532;13.7384;1941-1951;1
152;Chulalongkorn University;100.532;13.7384;1951-1961;1
153;Chulalongkorn University;100.532;13.7384;1961-1971;2
154;City College of New York;-73.95;40.8194;1861-1901;2
155;City College of New York;-73.95;40.8194;1901-1921;2
156;City College of New York;-73.95;40.8194;1921-1941;4
157;City College of New York;-73.95;40.8194;1951-1961;1
158;City College of New York;-73.95;40.8194;1961-1971;1
159;City University of New York;-73.997;40.73;1921-1941;1
160;Clare College, Cambridge;0.115;52.2052;1901-1921;1
161;Claremont Graduate University;-117.713;34.1041;1951-1961;1
162;Claremont Graduate University;-117.713;34.1041;1961-1971;1
163;Claremont McKenna College;-117.707;34.1017;1941-1951;1
164;Clarendon College (Texas);-100.903;34.9444;1861-1901;1
165;Clark Atlanta University;-84.4103;33.7508;1961-1971;1
166;Clark University;-71.8232;42.251;1941-1951;1
167;Clark University;-71.8232;42.251;1971-2001;1
168;Clemson University;-82.8392;34.6783;1951-1961;1
169;Cleveland State University;-81.6751;41.5017;1951-1961;1
170;Colby College;-69.6631;44.5642;1941-1951;1
171;Colby College;-69.6631;44.5642;1951-1961;1
172;Colby College;-69.6631;44.5642;1971-2001;1
