;place_name;place_type;long;lat;concat_person;person
0;'s-Graveland;Village;5.12111;52.2442;http://dbpedia.org/resource/Tjalling_Koopmans|Tjalling Koopmans (1910);1
1;A Coruña;City;-8.41;43.365;http://dbpedia.org/resource/Ramón_de_la_Sagra|Ramón de la Sagra (1798);1
2;Aalen;Town;10.1;48.8333;http://dbpedia.org/resource/Wolfgang_Stützel|Wolfgang Stützel (1925);1
3;Aalsmeer;Town;4.75;52.2667;http://dbpedia.org/resource/Jan_de_Pous|Jan de Pous (1920);1
4;Aba, Hungary;Town;18.5233;47.0307;http://dbpedia.org/resource/Anthony_de_Jasay|Anthony de Jasay (1925);1
5;Abeokuta;City;3.34833;7.16083;http://dbpedia.org/resource/Dimeji_Bankole|Dimeji Bankole (1969);1
6;Aberdeen;City;-2.11;57.15;http://dbpedia.org/resource/John_Hill_Burton|John Hill Burton (1809);1
7;Abilene, Kansas;City;-97.2139;38.9172;http://dbpedia.org/resource/Elizabeth_Baker_(economist)|Elizabeth Baker (economist) (2000);1
8;Abruzzo;AdministrativeRegion;12.3944;42.3661;http://dbpedia.org/resource/Alfredo_De_Massis|Alfredo De Massis (2000);1
9;Abu Dhabi;City;54.3667;24.4667;http://dbpedia.org/resource/Mana_Al_Otaiba|Mana Al Otaiba (1946);1
10;Accra;City;-0.2;5.55;http://dbpedia.org/resource/Amon_Nikoi|Amon Nikoi (1930),http://dbpedia.org/resource/Elizabeth_K._T._Sackey|Elizabeth K. T. Sackey (1958);2
11;Achaea;AdministrativeRegion;21.8333;38.0833;http://dbpedia.org/resource/Georgios_Papandreou|Georgios Papandreou (1888);1
12;Adana;Town;35.3213;37.0;http://dbpedia.org/resource/Mevlüt_Karakaya|Mevlüt Karakaya (1963);1
13;Adelaide;City;138.601;-34.9289;http://dbpedia.org/resource/Alexander_Downer|Alexander Downer (1951),http://dbpedia.org/resource/John_Quiggin|John Quiggin (1956),http://dbpedia.org/resource/Paul_Sheard|Paul Sheard (1954);3
14;Adrogué;City;-58.3833;-34.8;http://dbpedia.org/resource/Ricardo_López_Murphy|Ricardo López Murphy (1951);1
15;Agra;City;78.02;27.18;http://dbpedia.org/resource/Akhtar_Hameed_Khan|Akhtar Hameed Khan (1914);1
16;Agualeguas;;-99.5333;26.3167;http://dbpedia.org/resource/Raúl_Salinas_Lozano|Raúl Salinas Lozano (1917);1
17;Aguascalientes;;-102.35;22.0167;http://dbpedia.org/resource/Alberto_Anaya|Alberto Anaya (1946),http://dbpedia.org/resource/Carlos_Manuel_Urzúa_Macías|Carlos Manuel Urzúa Macías (1955);2
18;Aguata;Town;7.08333;6.01667;http://dbpedia.org/resource/Charles_Chukwuma_Soludo|Charles Chukwuma Soludo (1960);1
19;Ahuachapán;Town;-89.85;13.9169;http://dbpedia.org/resource/Álvaro_Magaña|Álvaro Magaña (1925);1
20;Ahvaz;City;48.6692;31.3203;http://dbpedia.org/resource/Mohammad_Hossein_Adeli|Mohammad Hossein Adeli (1953),http://dbpedia.org/resource/Sadeq_Khalilian|Sadeq Khalilian (1959);2
21;Akershus;AdministrativeRegion;11.0;60.0;http://dbpedia.org/resource/Jon_Ola_Norbom|Jon Ola Norbom (1923);1
22;Akron, Ohio;City;-81.5178;41.0731;http://dbpedia.org/resource/Richard_E._Caves|Richard E. Caves (1931);1
23;Al-Shati Camp;;34.4454;31.5322;http://dbpedia.org/resource/Yasser_Elshantaf|Yasser Elshantaf (1983);1
24;Alajuela;City;-84.2167;10.0167;http://dbpedia.org/resource/José_Figueres_Ferrer|José Figueres Ferrer (1906);1
25;Albania;Country;19.8167;41.3167;http://dbpedia.org/resource/Arben_Malaj|Arben Malaj (1961);1
26;Albany, New York;City;-73.7572;42.6525;http://dbpedia.org/resource/Paul_Krugman|Paul Krugman (1953);1
27;Albuquerque, New Mexico;City;-106.61;35.1108;http://dbpedia.org/resource/William_Nordhaus|William Nordhaus (1941);1
28;Alexandria;City;29.9167;31.2;http://dbpedia.org/resource/Gilbert_de_Botton|Gilbert de Botton (1935);1
29;Alexandria, Virginia;City;-77.0472;38.8047;http://dbpedia.org/resource/Charles_Schultze|Charles Schultze (1924);1
30;Algiers;City;3.05889;36.7539;http://dbpedia.org/resource/Jacques_Attali|Jacques Attali (1943);1
31;Almora;;79.6591;29.5971;http://dbpedia.org/resource/Ra'ana_Liaquat_Ali_Khan|Ra'ana Liaquat Ali Khan (1905);1
32;Alor Setar;City;100.369;6.11833;http://dbpedia.org/resource/Daim_Zainuddin|Daim Zainuddin (1938);1
33;Alton, Illinois;City;-90.1597;38.9006;http://dbpedia.org/resource/Christina_Romer|Christina Romer (1958);1
34;Alwar;;76.6355;27.5498;http://dbpedia.org/resource/Alok_Bhargava|Alok Bhargava (1954);1
35;Amanokrom;;-0.116667;5.93333;http://dbpedia.org/resource/Emmanuel_Noi_Omaboe|Emmanuel Noi Omaboe (1930);1
