;IDTombe;POINT_X;POINT_Y
0;3;30.44414317;19.61528858
1;4;30.44411848;19.61513045
2;5;30.44414632;19.61498164
3;6;30.44413629;19.61510432
4;7;30.4441013;19.61509519
5;8;30.44415428;19.61506066
6;9;30.44412806;19.61505162
7;10;30.44411947;19.61503399
8;11;30.44411956;19.61502522
9;12;30.44411983;19.61499891
10;13;30.44413773;19.61496401
11;14;30.44412842;19.61501654
12;15;30.44412001;19.61498137
13;16;30.44411133;19.61497251
14;17;30.44411151;19.61495497
15;18;30.44414695;19.61492025
16;19;30.44412923;19.61493761
17;20;30.44410292;19.61493734
18;21;30.44410319;19.61491103
19;22;30.44411205;19.61490235
20;23;30.44410337;19.61489349
21;24;30.44413854;19.61488508
22;25;30.44410355;19.61487595
23;26;30.44412109;19.61487613
24;27;30.44414596;19.61501672
25;28;30.44410229;19.61499873
26;29;30.44410211;19.61501627
27;30;30.44410202;19.61502504
28;31;30.44411866;19.61511291
29;32;30.44411821;19.61515676
30;33;30.44413575;19.61515694
31;34;30.44413827;19.61491139
32;40;30.44413863;19.61487631
33;41;30.4441125;19.61485851
34;42;30.44413013;19.61484992
35;43;30.44415347;19.61513958
36;45;30.44405592;19.61524383
37;46;30.44406487;19.61522638
38;47;30.44401225;19.61522584
39;48;30.4440212;19.61520839
40;49;30.44387176;19.61524194
41;50;30.44381887;19.6152677
42;51;30.44374826;19.61531083
43;52;30.44379247;19.6152762
44;53;30.44378388;19.61525857
45;54;30.4438016;19.61524122
46;55;30.44378406;19.61524104
47;56;30.44382782;19.61525026
48;57;30.4440646;19.61525269
49;58;30.44408205;19.61526164
50;59;30.44404733;19.6152262
51;60;30.44409932;19.61528813
52;61;30.44409959;19.61526182
53;62;30.444091;19.61524419
54;63;30.4440995;19.61527059
55;64;30.44410872;19.61522683
56;65;30.44410013;19.6152092
57;66;30.44409118;19.61522665
58;67;30.44405574;19.61526137
59;68;30.44405619;19.61521752
60;69;30.44403874;19.61520857
61;70;30.44408187;19.61527918
62;71;30.44400366;19.61520821
63;72;30.44402979;19.61522602
64;74;30.44381923;19.61523263
65;75;30.44378424;19.6152235
66;76;30.44380169;19.61523245
67;77;30.44381941;19.61521509
68;78;30.44381055;19.61522377
69;79;30.44378442;19.61520596
70;80;30.44380205;19.61519737
71;81;30.44382836;19.61519764
72;82;30.44379337;19.61518851
73;83;30.44377583;19.61518833
74;84;30.44380223;19.61517983
75;85;30.44378478;19.61517088
76;86;30.44380232;19.61517106
77;87;30.44382881;19.61515379
78;88;30.44381019;19.61525885
79;91;30.44406505;19.61520884
80;92;30.44409136;19.61520911
81;93;30.44402943;19.6152611
82;94;30.44401243;19.6152083
83;95;30.44401207;19.61524338
84;96;30.44401207;19.61524338
85;97;30.44400312;19.61526083
86;98;30.44400303;19.6152696
87;99;30.44395945;19.61524284
88;100;30.4439684;19.61522539
89;101;30.44395041;19.61526906
90;102;30.44653044;19.60572692
91;103;30.44403015;19.61519094
92;104;30.44394173;19.6152602
93;105;30.44395068;19.61524275
94;106;30.4439421;19.61522512
95;107;30.44394228;19.61520758
96;108;30.44391543;19.61525993
97;109;30.44392447;19.61523371
98;110;30.44391597;19.61520731
99;111;30.44388903;19.61526843
100;112;30.44389789;19.61525975
101;113;30.44389816;19.61523344
102;114;30.44410031;19.61519166
103;115;30.44408277;19.61519148
104;116;30.44418863;19.61513117
105;117;30.44418872;19.6151224
106;118;30.44419758;19.61511372
107;119;30.44418094;19.61502585
108;120;30.44376535;19.61535486
109;121;30.44377421;19.61534618
110;122;30.44375685;19.61532846
111;123;30.44376562;19.61532855
112;124;30.44373054;19.61532819
113;125;30.44373922;19.61533705
114;126;30.44373904;19.61535459
115;127;30.44374772;19.61536345
116;128;30.44376517;19.6153724
117;129;30.44377403;19.61536372
118;130;30.4437131;19.61531924
119;131;30.44371292;19.61533678
120;133;30.44371283;19.61534555
121;134;30.44372132;19.61537195
122;135;30.44370397;19.61535423
123;136;30.44373877;19.6153809
124;137;30.4437037;19.61538054
125;138;30.44369493;19.61538045
126;139;30.44368652;19.61534528
127;140;30.44369547;19.61532783
128;141;30.44374745;19.61538976
129;142;30.44404697;19.61526128
130;143;30.44373163;19.61522296
131;144;30.44373181;19.61520542
132;145;30.44371427;19.61520524
133;146;30.44376661;19.61523209
134;147;30.44367811;19.61531011
135;148;30.44380196;19.61520614
136;149;30.4440118;19.61526969
137;150;30.44398558;19.61526065
138;151;30.44400348;19.61522575
139;152;30.44405637;19.61519998
140;153;30.44406433;19.615279
141;154;30.44402925;19.61527864
142;155;30.44400294;19.61527837
143;156;30.44399417;19.61527828
144;157;30.44397681;19.61526056
145;158;30.44387149;19.61526824
146;159;30.44385404;19.6152593
147;160;30.44388044;19.6152508
148;161;30.44388966;19.61520704
149;162;30.44386326;19.61521554
150;163;30.44383677;19.61523281
151;164;30.44384581;19.61520659
152;165;30.44418863;19.61513117
153;166;30.44378334;19.61531119
154;167;30.44372223;19.61528425
155;168;30.44372214;19.61529302
156;169;30.4437488;19.61525821
157;170;30.44376643;19.61524963
158;171;30.44374898;19.61524068
159;172;30.44374898;19.61524068
160;173;30.44374925;19.61521437
161;174;30.44375811;19.61520569
162;175;30.44374952;19.61518806
163;176;30.44375847;19.61517061
164;177;30.44376733;19.61516193
165;178;30.44376742;19.61515316
166;179;30.44367757;19.61536273
167;180;30.44365108;19.61538
168;181;30.44366012;19.61535378
169;182;30.44366907;19.61533633
170;183;30.44366039;19.61532747
171;184;30.44373081;19.61530188
172;185;30.44372214;19.61529302
173;186;30.44373108;19.61527557
174;187;30.44373126;19.61525803
175;188;30.44372259;19.61524918
176;189;30.44373144;19.6152405
177;190;30.44373208;19.61517911
178;191;30.44374093;19.61517043
179;192;30.4437046;19.61529284
180;193;30.44371355;19.61527539
181;194;30.44369601;19.61527521
182;195;30.44369601;19.61527521
183;196;30.44368715;19.61528389
184;197;30.44367829;19.61529257
185;198;30.44366075;19.61529239
186;199;30.44367847;19.61527503
187;200;30.44371445;19.6151877
188;201;30.44371463;19.61517016
189;202;30.44410049;19.61517412
190;203;30.44404778;19.61518235
191;204;30.44406523;19.6151913
192;205;30.44407418;19.61517385
193;206;30.44405673;19.6151649
194;207;30.4440919;19.61515649
195;208;30.44404805;19.61515604
196;209;30.44403051;19.61515586
197;210;30.4441889;19.61510486
198;211;30.44417977;19.61513985
199;212;30.44420608;19.61514012
200;213;30.44415383;19.6151045
201;214;30.44417136;19.61510468
202;215;30.44419749;19.61512249
203;216;30.44417145;19.61509591
204;217;30.44417245;19.61499945
205;218;30.44408286;19.61518271
206;221;30.44458957;19.61452135
207;222;30.44463369;19.6144955
208;223;30.44462528;19.61446033
209;224;30.44463432;19.61443411
210;225;30.44460738;19.61449523
211;226;30.44459002;19.61447751
212;227;30.44457221;19.61450363
213;228;30.44452827;19.61451195
214;229;30.44455485;19.61448592
215;230;30.44456416;19.61443339
216;231;30.44454671;19.61442444
217;232;30.44451968;19.61449432
218;233;30.44451986;19.61447679
219;234;30.44452049;19.6144154
220;235;30.44452944;19.61439795
221;236;30.44460855;19.61438122
222;237;30.44460756;19.61447769
223;238;30.44455602;19.61437191
224;239;30.44459119;19.6143635
225;240;30.44452112;19.61435401
226;241;30.44459146;19.61433719
227;242;30.44464381;19.61436404
228;243;30.44464408;19.61433773
229;244;30.44461813;19.61430238
230;245;30.44436871;19.61467696
231;246;30.4447051;19.61437344
232;247;30.44469678;19.6143295
233;248;30.44473168;19.6143474
234;249;30.44471252;19.61450508
235;250;30.44470438;19.6144436
236;251;30.44470474;19.61440852
237;252;30.4447221;19.61442624
238;253;30.44417398;19.61485037
239;254;30.44415626;19.61486773
240;255;30.44417371;19.61487668
241;256;30.44408583;19.61489331
242;257;30.4441823;19.6148943
243;258;30.44435189;19.61460662
244;260;30.44371409;19.61522278
245;261;30.44475844;19.61430383
246;262;30.4447248;19.61416315
247;264;30.44480247;19.61428674
248;265;30.44482878;19.61428701
249;266;30.44473276;19.61424217
250;267;30.44475916;19.61423367
251;268;30.44481151;19.61426052
252;269;30.44481178;19.61423421
253;270;30.44478583;19.61419886
254;271;30.44502261;19.61420129
255;272;30.444821;19.61419045
256;273;30.44485509;19.61428728
257;274;30.44483782;19.61426079
258;275;30.44482941;19.61422562
259;276;30.44486449;19.61422598
260;277;30.44489007;19.61429641
261;278;30.44490797;19.61426151
262;279;30.44492533;19.61427923
263;280;30.44473276;19.61424217
264;281;30.4449256;19.61425292
265;282;30.44493455;19.61423547
266;283;30.44495236;19.61420934
267;284;30.44490851;19.61420889
268;285;30.44475129;19.61414588
269;286;30.44497813;19.61426223
270;287;30.44495191;19.61425319
271;288;30.44497858;19.61421838
272;289;30.44502189;19.61427145
273;290;30.44506565;19.61428067
274;291;30.44502279;19.61418375
275;292;30.44499666;19.61416594
276;293;30.44495272;19.61417426
277;294;30.44492641;19.61417399
278;295;30.44496194;19.6141305
279;296;30.44499702;19.61413086
280;297;30.44500534;19.6141748
281;298;30.44492668;19.61414768
282;299;30.44494503;19.61406894
283;300;30.44494413;19.61415663
284;301;30.44504024;19.6141927
285;302;30.4448738;19.61417345
286;303;30.44480364;19.61417273
287;304;30.44497921;19.61415699
288;305;30.44497548;19.61366581
289;306;30.44501056;19.61366617
290;307;30.44493173;19.61365659
291;308;30.44494023;19.61368299
292;309;30.44476667;19.61435653
293;310;30.44474009;19.61438257
294;311;30.44476649;19.61437407
295;312;30.44504964;19.6141314
296;313;30.44503201;19.61413999
297;314;30.44505868;19.61410519
298;315;30.44503246;19.61409615
299;316;30.445067;19.61414912
300;317;30.44509385;19.61409678
301;318;30.44510217;19.61414071
302;319;30.44509304;19.6141757
303;320;30.445084;19.61420192
304;321;30.44511907;19.61420228
305;322;30.44511961;19.61414966
306;323;30.44511979;19.61413213
307;324;30.44511997;19.61411459
308;325;30.44515406;19.61421141
309;326;30.44517169;19.61420282
310;327;30.44516337;19.61415888
311;328;30.44514637;19.61410609
312;329;30.44517268;19.61410636
313;330;30.44515523;19.61409741
314;331;30.44519791;19.61421186
315;332;30.44519854;19.61415047
316;333;30.44525053;19.6142124
317;334;30.44522503;19.61413321
318;335;30.44522521;19.61411567
319;336;30.44516319;19.61417642
320;337;30.44525975;19.61416864
321;338;30.44525134;19.61413348
322;339;30.44525161;19.61410717
323;340;30.44653044;19.60572692
324;341;30.44653044;19.60572692
325;342;30.44653044;19.60572692
326;343;30.44653044;19.60572692
327;344;30.44653044;19.60572692
328;345;30.44653044;19.60572692
329;346;30.44653044;19.60572692
330;347;30.44653044;19.60572692
331;348;30.44653044;19.60572692
332;349;30.44653044;19.60572692
333;350;30.44653044;19.60572692
334;351;30.44653044;19.60572692
335;352;30.44653044;19.60572692
336;353;30.44653044;19.60572692
337;354;30.44653044;19.60572692
338;355;30.44653044;19.60572692
339;356;30.44653044;19.60572692
340;357;30.44653044;19.60572692
341;358;30.44653044;19.60572692
342;359;30.44653044;19.60572692
343;360;30.44653044;19.60572692
344;361;30.44653044;19.60572692
345;362;30.44653044;19.60572692
346;363;30.44653044;19.60572692
347;364;30.44653044;19.60572692
348;365;30.44653044;19.60572692
349;366;30.44653044;19.60572692
350;367;30.44653044;19.60572692
351;368;30.44653044;19.60572692
352;369;30.44653044;19.60572692
353;370;30.44653044;19.60572692
354;371;30.44653044;19.60572692
355;372;30.44653044;19.60572692
356;373;30.44653044;19.60572692
357;374;30.44653044;19.60572692
358;375;30.44653044;19.60572692
359;376;30.44653044;19.60572692
360;377;30.44653044;19.60572692
361;378;30.44653044;19.60572692
362;379;30.44653044;19.60572692
363;380;30.44653044;19.60572692
364;381;30.44653044;19.60572692
365;382;30.44653044;19.60572692
366;383;30.44653044;19.60572692
367;384;30.44653044;19.60572692
368;385;30.44653044;19.60572692
369;386;30.44653044;19.60572692
370;387;30.44653044;19.60572692
371;388;30.44653044;19.60572692
372;389;30.44653044;19.60572692
373;390;30.44653044;19.60572692
374;391;30.44653044;19.60572692
375;392;30.44653044;19.60572692
376;393;30.44653044;19.60572692
377;394;30.44653044;19.60572692
378;395;30.44653044;19.60572692
379;396;30.44653044;19.60572692
380;397;30.44653044;19.60572692
381;398;30.44653044;19.60572692
382;399;30.44653044;19.60572692
383;400;30.44653044;19.60572692
384;401;30.44653044;19.60572692
385;402;30.44653044;19.60572692
386;403;30.44653044;19.60572692
387;404;30.44653044;19.60572692
388;405;30.44653044;19.60572692
389;406;30.44653044;19.60572692
390;407;30.44653044;19.60572692
391;408;30.44653044;19.60572692
392;409;30.44653044;19.60572692
393;410;30.44653044;19.60572692
394;411;30.44653044;19.60572692
395;412;30.44653044;19.60572692
396;413;30.44653044;19.60572692
397;414;30.44653044;19.60572692
398;415;30.44653044;19.60572692
399;416;30.44653044;19.60572692
400;417;30.44653044;19.60572692
401;418;30.44653044;19.60572692
402;419;30.44653044;19.60572692
403;420;30.44653044;19.60572692
404;421;30.44653044;19.60572692
405;422;30.44653044;19.60572692
406;423;30.44653044;19.60572692
407;424;30.44653044;19.60572692
408;425;30.44653044;19.60572692
409;426;30.44653044;19.60572692
410;427;30.44653044;19.60572692
411;428;30.44653044;19.60572692
412;429;30.44653044;19.60572692
413;430;30.44653044;19.60572692
414;431;30.44653044;19.60572692
415;432;30.44653044;19.60572692
416;433;30.44653044;19.60572692
417;434;30.44653044;19.60572692
418;435;30.44653044;19.60572692
419;436;30.44653044;19.60572692
420;437;30.44653044;19.60572692
421;438;30.44653044;19.60572692
422;439;30.44653044;19.60572692
423;440;30.44653044;19.60572692
424;441;30.44653044;19.60572692
425;442;30.44653044;19.60572692
426;443;30.44653044;19.60572692
427;444;30.44653044;19.60572692
428;445;30.44653044;19.60572692
429;446;30.44653044;19.60572692
430;447;30.44653044;19.60572692
431;448;30.44653044;19.60572692
432;449;30.44653044;19.60572692
433;450;30.44653044;19.60572692
434;451;30.44653044;19.60572692
435;452;30.44653044;19.60572692
436;453;30.44653044;19.60572692
437;454;30.44653044;19.60572692
438;455;30.44653044;19.60572692
