annee|continent
1920|Europe
1926|Europe
1842|Europe
1960|Europe
1947|Europe
1941|Europe
1916|Europe
1936|Europe
1952|Europe
1969|Europe
1943|Europe
1943|Europe
1924|Europe
1948|Europe
1948|Europe
1906|Europe
1940|Europe
1873|Europe
1946|Europe
1961|Europe
1948|Europe
1858|Europe
1936|Europe
1903|Europe
1945|Europe
1939|Europe
1904|Europe
1954|Europe
1970|Europe
1920|Europe
1898|Europe
1927|Europe
1946|Europe
1850|Europe
1900|Europe
1926|Europe
1937|Europe
1939|Europe
1950|Europe
1967|Europe
1949|Europe
1924|Europe
1954|Europe
1934|Europe
1905|Europe
1900|Europe
1948|Europe
1944|Europe
1979|Europe
1950|Europe
1926|Europe
1892|Europe
1916|Europe
1930|Europe
1934|Europe
1939|Europe
1938|Europe
1954|Europe
1926|Europe
1923|Europe
1940|Europe
1944|Europe
1928|Europe
1946|Europe
1905|Europe
1921|Europe
1952|Europe
1956|Europe
1930|Europe
1956|Europe
1937|Europe
1903|Europe
1904|Europe
1933|Europe
1924|Europe
1942|Europe
1929|Europe
1891|Europe
1969|Europe
1921|Europe
1877|Europe
1897|Europe
1921|Europe
1921|Europe
1969|Europe
1927|Europe
1942|Europe
1921|Europe
1961|Europe
1924|Europe
1846|Europe
1911|Europe
1943|Europe
1969|Europe
1931|Europe
1959|Europe
1934|Europe
1851|Europe
1936|Europe
1917|Europe
1922|Europe
1927|Europe
1948|Europe
1924|Europe
1963|Europe
1948|Afrique
1932|Afrique
1942|Afrique
1955|Afrique
1915|Afrique
1951|Afrique
1946|Afrique
1903|Double nat.
1974|Asie
1947|Asie
1955|Asie
1956|Asie
1945|Asie
1945|Asie
1910|Asie
1891|Asie
1929|Asie
1905|Asie
1941|Asie
1946|Asie
1961|Asie
1932|Asie
1960|Asie
1920|Asie
1951|Asie
1967|Asie
1942|Asie
1956|Asie
1939|Asie
1951|Europe
1852|Europe
1966|Afrique
1938|Afrique
1940|Double nat.
1963|Afrique
1929|Afrique
1934|Afrique
1971|Afrique
1954|Afrique
1951|Afrique
1944|Afrique
1962|Afrique
1943|Am. Sud
1947|Océeanie
1917|Océeanie
1958|Océeanie
1955|Océeanie
