nationality|eff|code
United_States|328|Unite
American|145|Ameri
Germany|72|Germa
United_Kingdom|59|Unite
British|58|Briti
Netherlands|55|Nethe
Americans|51|Ameri
United States|49|Unite
Indian|40|India
Colombians|38|Colom
Australian|37|Austr
Colombian_people|36|Colom
Canadians|35|Canad
France|32|Franc
India|28|India
Japanese|24|Japan
French|22|Frenc
Italy|22|Italy
German|21|Germa
Japan|21|Japan
Australia|20|Austr
Italian|18|Itali
Canada|16|Canad
Sweden|14|Swede
Ugandan|14|Ugand
Canadian|12|Canad
Israel|11|Israe
Israeli|11|Israe
Nigerian|11|Niger
Polish|11|Polis
Belgium|10|Belgi
Dutch|10|Dutch
Russian|10|Russi
Spanish|10|Spani
English|9|Engli
Turkey|9|Turke
United Kingdom|9|Unite
Chilean|8|Chile
Denmark|8|Denma
Italians|8|Itali
Norway|8|Norwa
Russia|8|Russi
Spain|8|Spain
USA|8|USA
Austrian|7|Austr
Brazilian|7|Brazi
Bulgarian_nationality_law|7|Bulga
Sierra Leonean|7|Sierr
Sri Lankan|7|Sri L
Swedish|7|Swedi
Thailand|7|Thail
Argentina|6|Argen
Austria|6|Austr
Bangladeshi|6|Bangl
Belgian|6|Belgi
Filipino|6|Filip
Ghana|6|Ghana
Ghanaian|6|Ghana
Greece|6|Greec
Nigerians|6|Niger
Philippines|6|Phili
Poles|6|Poles
Switzerland|6|Switz
Brazil|5|Brazi
British_people|5|Briti
Canadian_Americans|5|Canad
German_Americans|5|Germa
German_Empire|5|Germa
Germans|5|Germa
Hungarians|5|Hunga
Indian_people|5|India
Iranian|5|Irani
Italian_nationality_law|5|Itali
Mexico|5|Mexic
Portugal|5|Portu
South African|5|South
South_Africa|5|South
Turkish|5|Turki
United_States_of_America|5|Unite
vian|5|vian
Australians|4|Austr
Chile|4|Chile
Chinese|4|Chine
Colombia|4|Colom
Ecuador|4|Ecuad
Filipino_people|4|Filip
German_American|4|Germa
Hungary|4|Hunga
Iran|4|Iran
Irish|4|Irish
Japanese_people|4|Japan
New_Zealand|4|New_Z
Nigeria|4|Niger
Norwegian|4|Norwe
Rwandan|4|Rwand
Turkish_people|4|Turki
Uruguay|4|Urugu
Uruguayan|4|Urugu
American_people|3|Ameri
Argentine|3|Argen
Azerbaijani_people|3|Azerb
Azerbaijanis|3|Azerb
Brazilian_people|3|Brazi
Canadian_American|3|Canad
China|3|China
Colombian|3|Colom
Filipinos|3|Filip
Greek|3|Greek
Indian_American|3|India
Indian_Americans|3|India
Irish_people|3|Irish
Liberia|3|Liber
Liberian|3|Liber
Norwegians|3|Norwe
Pakistan|3|Pakis
Peru|3|Peru
Romanian|3|Roman
Serbian|3|Serbi
Sierra_Leonean|3|Sierr
Sri_Lanka|3|Sri_L
Swiss|3|Swiss
Uganda|3|Ugand
|2|
American and Greek|2|Ameri
Argentine_Americans|2|Argen
Argentine_nationality_law|2|Argen
Argentine_people|2|Argen
Argentines|2|Argen
Austria-Hungary|2|Austr
Austrian and American|2|Austr
Austrian_American|2|Austr
Austrian_Americans|2|Austr
Bangladesh|2|Bangl
Belgians|2|Belgi
Brazilians|2|Brazi
Canadian-American|2|Canad
Chilean_people|2|Chile
Chileans|2|Chile
Croatian|2|Croat
