|uri|name|annee_naiss|biogr
0|http://data.bnf.fr/ark:/12148/cb120886836#about|Carlo Cattaneo|1801|"Écrivain, historien et économiste. - Représente le courant fédéraliste du Risorgimento. - Fondateur du périodique scientifique ""Il Politecnico"" (1839). - Fit partie du gouvernement provisoire de Lombardie en 1848"
1|http://data.bnf.fr/ark:/12148/cb123560411#about|Constantin Pecqueur|1801|Économiste. - Ancien sous-bibliothécaire à la bibliothèque de l'Assemblée nationale, Paris
2|http://data.bnf.fr/ark:/12148/cb118905060#about|Frédéric Bastiat|1801|Économiste. - Député de Bayonne (1848-1850)
3|http://data.bnf.fr/ark:/12148/cb11897951m#about|Antoine-Augustin Cournot|1801|Mathématicien. - Philosophe. - Économiste. - Recteur de l'académie de Lyon
4|http://data.bnf.fr/ark:/12148/cb12815310c#about|John-Théodore Dupont-White|1801|Avocat à Paris (1822-1830) puis procureur du roi à Montdidier, Senlis puis Beauvais. - Membre de la Société des antiquaires de Picardie. - Frère de l'économiste : Dupont-White, Charles (1807-1878)
5|http://data.bnf.fr/ark:/12148/cb131633356#about|Adolphe de Watteville Du Grabe|1801|Économiste. - Fut inspecteur général des établissements de bienfaisance. - Père du baron Oscar-Amédée de Watteville du Grabe (1824-1901) et de Louis Olivier de Watteville du Grabe (1830-1912)
6|http://data.bnf.fr/ark:/12148/cb12013785h#about|Auguste Walras|1801|Économiste
7|http://data.bnf.fr/ark:/12148/cb12551958c#about|Denis-Dominique Farjasse|1801|Avocat et homme politique. - Fut préfet de l'Aube et conseiller général de Seine-et-Oise. - Était républicain et membre de l'Assocation pour la réforme et la codification du droit des gens. - Voyagea en Italie
8|http://data.bnf.fr/ark:/12148/cb10639675j#about|Alexandre-Guillaume Chotin|1801|Docteur en droit (Gand, 1825). - Professeur de grammaire et de syntaxe. - Historien
9|http://data.bnf.fr/ark:/12148/cb11801078v#about|Jules Failly|1801|Avocat et homme politique. - Conseiller général des Deux-Sèvres (1848-1851, 1876-1886). - Député des Deux-Sèvres à l'Assemblée législative de 1849, il protesta contre le coup d'État du 2 décembre 1851. - Docteur en droit (1828)
10|http://data.bnf.fr/ark:/12148/cb12121970x#about|Alphonse Grün|1801|Juriste et journaliste
11|http://data.bnf.fr/ark:/12148/cb12962174j#about|János Fogarasi|1801|Linguiste. - Juriste. - Académicien
12|http://data.bnf.fr/ark:/12148/cb10593270b#about|Adolphe-André Sautayra|1801|Docteur en droit (1826). - Avocat
13|http://data.bnf.fr/ark:/12148/cb13168883n#about|Athanase Germain|1801|Licencié en droit (Paris, 1821). - Avocat à la cour royale de Paris. - Maître des requêtes au Conseil d'État (1832-1848). - Franc-maçon
14|http://data.bnf.fr/ark:/12148/cb112784662#about|Josef Josefovič Jungmann|1801|Juriste et théoricien de la traduction. - Traducteur du romancier Karl Franz Van der Velde (1779-1824), des librettistes Christian Friedrich Bretzner (1748-1807) et Johann Gottlieb Stephanie le Jeune (1741-1800). - Meurt de la tuberculose. - Fils de l'écrivain Josef Jungmann (1773-1847)
15|http://data.bnf.fr/ark:/12148/cb11894607k#about|Eugène Burnouf|1801|Philologue. - Indologue. - Membre de l'Institut de France (élu en 1832) ; Secrétaire perpétuel de l'Académie des inscriptions (en 1852) ; membre de nombreuses académies. - Professeur au Collège de France (1833-1851). - Archiviste paléographe (1824). - Licencié ès-lettres, licencié en droit
16|http://data.bnf.fr/ark:/12148/cb15559992w#about|Girolamo Calvi|1801|Docteur en droit, écrivain, journaliste, philosophe et mélomane. - Erudit et polyglotte
17|http://data.bnf.fr/ark:/12148/cb12516618p#about|Godefroy Cavaignac|1801|Homme politique et publiciste républicain. - Opposant à la Monarchie de Juillet. - Présida la Société des droits de l'homme qu'il avait contribué à fonder
18|http://data.bnf.fr/ark:/12148/cb17725224h#about|Louis-Augustin Mie|1801|"Variante(s) de prénom : Louis-Auguste. - Homme politique ; avocat ; imprimeur. - Natif de Périgueux, fils d'un avocat. Étudie le droit et devient lui-même avocat. Breveté imprimeur à Paris le 1er oct. 1829 en succession de François-Charles Farcy (1792-1867). Auteur en 1830 de ""De la souveraineté du peuple dans les élections"". Met ses presses au service de journaux libéraux, tels ""Le National, ""Le Globe"" ou ""La Tribune"". Bénéficie en 1830 d'un prêt gouvernemental garanti par nantissement. Subit par la suite de nombreux procès. Condamné le 8 sept. 1832 par la cour d'assises de la Seine pour avoir publié ""La Nicostrata"", brochure qualifiée de séditieuse, il est de nouveau condamné en 1832 pour avoir imprimé le ""Discours de Victor Prospert"", puis le 21 nov. 1832 à dix ans de détention à la suite de l'affaire de la barricade républicaine du cloître Saint-Merri (5 et 6 juin 1832). Son brevet d'imprimeur lui est finalement retiré le 13 avril 1834 et Fritz Estibal le remplace par brevet du 11 août 1834. Se lance dans l'action politique. Après s'être présenté sans succès à la députation en août 1846, il est élu le 4 juin 1848 (jusqu'au 26 mai 1849) représentant de la Dordogne à l'Assemblée constituante et siège à gauche. Réélu le 13 juin 1849 à l'Assemblée législative comme représentant de la Dordogne. Après le coup d'État du 2 déc. 1851, il se retire de l'Assemblée et tente en vain de se faire élire en Dordogne à deux reprises en juin 1863 et fév. 1871. Se retire à Saint-Mandé (Val-de-Marne), où il décède en déc. 1885"
19|http://data.bnf.fr/ark:/12148/cb125042402#about|John Barnard Byles|1801|Juriste. - Spécialiste du droit commercial
20|http://data.bnf.fr/ark:/12148/cb12316706m#about|Theodore Dwight Woolsey|1801|Juriste. - A été professeur de droit à Yale college, New Haven, Conn.
21|http://data.bnf.fr/ark:/12148/cb123504708#about|Andreas Ludwig Jacob Michelsen|1801|Juriste
22|http://data.bnf.fr/ark:/12148/cb12315626q#about|Charles Coquelin|1802|Économiste. - Journaliste
